uid,id,rarity,time,banner,type,manual
1682475000000012911,1009,4,2023-04-26T02:00:38.000Z,1001,1,false
1682489400001998711,20008,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001998811,20005,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001998911,20013,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001999011,20015,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001999111,20012,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001999211,20002,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001999311,20006,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001999411,20020,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001999511,20010,3,2023-04-26T06:59:52.000Z,1001,1,false
1682489400001999611,1103,4,2023-04-26T06:59:52.000Z,1001,1,false
1682496600000973411,20019,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000973511,20015,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000973611,20002,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000973711,20002,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000973811,20002,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000973911,20001,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000974011,20014,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000974111,20008,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000974211,20011,3,2023-04-26T08:24:30.000Z,1001,1,false
1682496600000974311,21010,4,2023-04-26T08:24:30.000Z,1001,1,false
1682511000001015311,20018,3,2023-04-26T12:21:06.000Z,1001,1,false
1682511000001021611,20004,3,2023-04-26T12:21:09.000Z,1001,1,false
1682511000001025811,20006,3,2023-04-26T12:21:12.000Z,1001,1,false
1682511000001170011,20004,3,2023-04-26T12:23:55.000Z,1001,1,false
1682511000001170511,20004,3,2023-04-26T12:23:57.000Z,1001,1,false
1682511000001512511,20004,3,2023-04-26T12:31:10.000Z,1001,1,false
1682514600002990411,20009,3,2023-04-26T13:56:47.000Z,1001,1,false
1682514600002991911,20019,3,2023-04-26T13:56:50.000Z,1001,1,false
1682514600002994311,1013,4,2023-04-26T13:56:52.000Z,1001,1,false
1682633400000263511,20008,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000263611,20014,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000263711,20007,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000263811,20020,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000263911,20005,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000264011,20017,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000264111,20004,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000264211,20002,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000264311,20013,3,2023-04-27T22:09:37.000Z,1001,1,false
1682633400000264411,21005,4,2023-04-27T22:09:37.000Z,1001,1,false
1682727000000251711,20018,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000251811,20019,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000251911,20004,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000252011,20010,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000252111,20000,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000252211,20015,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000252311,20010,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000252411,20000,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000252511,20002,3,2023-04-29T00:23:24.000Z,1001,1,false
1682727000000252611,1206,4,2023-04-29T00:23:24.000Z,1001,1,false
1682795400001144011,20004,3,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144111,20000,3,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144211,20000,3,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144311,20013,3,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144411,20019,3,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144511,23003,5,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144611,20018,3,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144711,20009,3,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144811,21000,4,2023-04-29T19:44:08.000Z,1001,1,false
1682795400001144911,20005,3,2023-04-29T19:44:08.000Z,1001,1,false
1682899800000142811,20016,3,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000142911,20016,3,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000143011,20001,3,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000143111,20018,3,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000143211,20014,3,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000143311,20003,3,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000143411,20003,3,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000143511,20013,3,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000143611,1105,4,2023-05-01T00:10:27.000Z,1001,1,false
1682899800000143711,20008,3,2023-05-01T00:10:27.000Z,1001,1,false
1682986200000219111,20000,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000219211,20019,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000219311,20012,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000219411,20012,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000219511,20009,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000219611,20013,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000219711,21020,4,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000219811,20003,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000219911,20006,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000220011,20014,3,2023-05-02T00:22:05.000Z,1001,1,false
1682986200000268411,20005,3,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000268511,20020,3,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000268611,20006,3,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000268711,20012,3,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000268811,20011,3,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000268911,20014,3,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000269011,1202,4,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000269111,20004,3,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000269211,20004,3,2023-05-02T00:27:37.000Z,1001,1,false
1682986200000269311,20017,3,2023-05-02T00:27:37.000Z,1001,1,false
1683317400000336311,20000,3,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000336411,20003,3,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000336511,20015,3,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000336611,20001,3,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000336711,20020,3,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000336811,20018,3,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000336911,21020,4,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000337011,20008,3,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000337111,20003,3,2023-05-05T20:22:15.000Z,1001,1,false
1683317400000337211,20002,3,2023-05-05T20:22:15.000Z,1001,1,false
1684689000000267111,20012,3,2023-05-21T17:31:52.000Z,1001,1,false
1684689000000268211,20003,3,2023-05-21T17:31:56.000Z,1001,1,false
1684689000000268311,20020,3,2023-05-21T17:31:59.000Z,1001,1,false
1684689000000268511,20005,3,2023-05-21T17:32:02.000Z,1001,1,false
1684689000000268711,20015,3,2023-05-21T17:32:05.000Z,1001,1,false
1684689000000270011,1008,4,2023-05-21T17:32:09.000Z,1001,1,false
1684689000000272611,20014,3,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000272711,20010,3,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000272811,20015,3,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000272911,20020,3,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000273011,20018,3,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000273111,20015,3,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000273211,20008,3,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000273311,20013,3,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000273411,21006,4,2023-05-21T17:32:22.000Z,1001,1,false
1684689000000273511,20016,3,2023-05-21T17:32:22.000Z,1001,1,false
1686478200000215611,1009,4,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000215711,20011,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000215811,20015,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000215911,20013,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000216011,20017,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000216111,20005,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000216211,20001,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000216311,20017,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000216411,20001,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000216511,20009,3,2023-06-11T10:47:59.000Z,1001,1,false
1686478200000217311,1008,4,2023-06-11T10:48:29.000Z,1001,1,false
1686478200000218811,20018,3,2023-06-11T10:48:50.000Z,1001,1,false
1686478200000219211,20014,3,2023-06-11T10:48:56.000Z,1001,1,false
1686478200000219411,20007,3,2023-06-11T10:49:03.000Z,1001,1,false
1686478200000219711,20003,3,2023-06-11T10:49:10.000Z,1001,1,false
1686478200000221911,20011,3,2023-06-11T10:49:16.000Z,1001,1,false
1686478200000224611,20007,3,2023-06-11T10:50:32.000Z,1001,1,false
1686478200000231311,20011,3,2023-06-11T10:51:47.000Z,1001,1,false
1686478200000238211,20001,3,2023-06-11T10:53:53.000Z,1001,1,false
1686561000000058211,21020,4,2023-06-12T09:15:32.000Z,1001,1,false
1686690600000003411,20008,3,2023-06-13T21:00:37.000Z,1001,1,false
1686690600000004011,20020,3,2023-06-13T21:00:54.000Z,1001,1,false
1686690600000004511,20013,3,2023-06-13T21:01:03.000Z,1001,1,false
1686737400000052811,1004,5,2023-06-14T10:21:04.000Z,1001,1,false
1696000200000153511,20005,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000153611,1013,4,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000153711,20018,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000153811,20009,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000153911,20012,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000154011,20009,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000154111,20010,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000154211,20019,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000154311,20005,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000154411,20018,3,2023-09-29T15:57:07.000Z,1001,1,false
1696000200000154611,21012,4,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000154711,20004,3,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000154811,20017,3,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000154911,20012,3,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000155011,20006,3,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000155111,20002,3,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000155211,20012,3,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000155311,20018,3,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000155411,20017,3,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000155511,1109,4,2023-09-29T15:57:16.000Z,1001,1,false
1696000200000156011,20004,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156111,21014,4,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156211,20019,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156311,20013,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156411,20019,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156511,20000,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156611,20007,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156711,20006,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156811,20014,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000156911,20020,3,2023-09-29T15:57:30.000Z,1001,1,false
1696000200000157111,20008,3,2023-09-29T15:57:40.000Z,1001,1,false
1696000200000157211,1207,4,2023-09-29T15:57:40.000Z,1001,1,false
1696000200000157311,20013,3,2023-09-29T15:57:40.000Z,1001,1,false
